Station,oakisland_west
DateTime,2023-06-04 14:12:00
TideLvl (m),0.406
Transects,64
""
Transect #,Width (pixels)
0,nan
1,nan
2,232.32697947214092
3,261.37536656891507
4,311.2624633431087
5,350.31085043988287
6,401.6979472140765
7,440.74633431085067
8,476.1334310850441
9,533.1818181818182
10,575.5689149560119
11,610.742302052786
12,657.5043988269797
13,656.0527859237538
14,572.4860291223929
15,658.1223927587566
16,656.7587563951201
17,609.2436048799686
18,655.8799685163322
19,654.3648170011807
20,523.0011806375444
21,521.4860291223929
22,521.1223927587564
23,519.6072412436049
24,519.2436048799686
25,564.7284533648171
26,547.3648170011807
27,545.8496654860292
28,544.4860291223929
29,551.0275974025974
30,548.7775974025974
31,643.5275974025974
32,641.0275974025976
33,530.7775974025976
34,638.2775974025976
35,503.0275974025976
36,500.5275974025976
37,560.2775974025976
38,557.7775974025976
39,1764.5275974025976
40,1654.5012816131239
41,1600.78354978355
42,1582.426406926407
43,1533.4264069264073
44,1417.3474595579862
45,1320.5930735930738
46,1308.8930735930737
47,1290.2597402597405
48,1155.6945228684363
49,1154.9264069264073
50,1064.1617010440543
51,1045.041353383459
52,955.2255639097748
53,903.9097744360905
54,837.2255639097748
55,805.041353383459
56,737.2880639097748
57,703.5413533834592
58,647.7255639097748
59,573.4482359745521
60,491.77365491651244
61,434.91651205936955
62,395.13079777365533
63,352.27365491651244
64,nan
65,nan
